Year,Filename,Source
1805,Alexandria daily advertiser. [volume] (Alexandria [Va.]) 1803-1808,american_stories
1805,"Berkeley and Jefferson intelligencer. [volume] (Martinsburg, Va.) 1802-1810",american_stories
1805,"Jenks' Portland gazette. [volume] (Portland, Me.) 1803-1805",american_stories
1805,Jenks' Portland gazette.,american_stories
1805,Portland gazette and Maine advertiser.,american_stories
1805,"Portland gazette and Maine advertiser. (Portland, Me.) 1805-1818",american_stories
1805,Portland gazette.,american_stories
1805,"Portland gazette. [volume] (Portland, Me.) 1805-1805",american_stories
1805,"Rhode-Island Republican. [volume] (Newport, R.I.) 1801-1806",american_stories
1805,"The enquirer. [volume] (Richmond, Va.) 1804-1815",american_stories
1805,"Virginia Argus. [volume] (Richmond, Va.) 1796-1816",american_stories
1805,"A Companion and useful guide to the beauties of Scotland, to the Lakes of Westmoreland, Cumberland, and Lancashire; and to the curiosities of the district of Craven, etc. (A Companion and useful guide to the beauties in the Western Highlands of Scotland, and in the Hebrides, etc.)",blbooks
1805,"A Compendium of Modern Husbandry, principally written during a survey of Surrey; ... illustrative of the best practices in the neighbouring Counties, ... in which is comprised an analysis of manures ... Also an essay on timber, etc",blbooks
1805,"A Complete Verbal Index to the Plays of Shakspeare; adapted to all the editions, etc",blbooks
1805,A Prior Claim; a comedy in five acts [and in prose],blbooks
1805,"A Volunteer Song. (No. II. Abercrombie, Nelson & Smith, etc [A collection of pieces in verse, numbered I.-XI. By Francis Wrangham.])",blbooks
1805,A general view of the writings of Linnæus,blbooks
1805,A guide to the Cathedral Church and collegiate buildings at Ely,blbooks
1805,"A short account of the settlement, produce, and commerce, of Prince of Wales Island in the Straits of Malacca",blbooks
1805,A treatise on the external characters of fossils. Translated from the German ... by T. Weaver,blbooks
1805,"African Memoranda: relative to an attempt to establish a British settlement on the island of Bulama, on the western coast of Africa, in the year 1792, etc [With a map.]",blbooks
1805,"An Elegy on the ... death of ... Lord Viscount Nelson, ... with an address to Britannia",blbooks
1805,An Essay on the spirit and influence of the Reformation by Luther ... Faithfully translated from the last Paris edition by B. Lambert,blbooks
1805,"An authentic narrative of the loss of the Earl of Abergavenny East Indiaman of Portland, 5th Feb. 1805",blbooks
1805,"An historical account of the Black Empire of Hayti; comprehending a view of the principal transactions in the revolution of Saint Domingo, etc",blbooks
1805,"Ancient and Modern Malta: containing a description of the ports and cities of Malta and Goza ... also, the history of the Knights of St. John of Jerusalem ... till the beginning of the 19th century ... With an appendix containing a number of authentic state papers, etc [With plates and a chart.]",blbooks
1805,"Authentic Narrative of the fortunate escape of Mr. R. W. L, who, with Captain R. Youl, M. J. Flower, ... and eleven natives, was captured by the Aza Arabs ... in the Persian Gulph: ... also an account of their journey on foot up the Persian coast, to Nakiloo ... and final arrival at Bushire",blbooks
1805,"County of Down Election, 1805. The Patriotic Miscellany: or Mirror of Wit, Genius and Truth, being a collection of all the publications during the late contested Election between Col. J. Meade and Viscount Castlereagh",blbooks
1805,"Custom's-Fallacy, a dramatic sketch in three acts. Never performed [By James M. Grant.]",blbooks
1805,"Discourses on Davila. A series of papers, on political history. Written in the year 1790, and then published in the Gazette of the United States. By an American citizen [i.e. John Adams, President of the United States of America]",blbooks
1805,"Elegies on the Deaths of Several of her Valuable Friends, etc",blbooks
1805,Familiar Letters from Italy to a Friend in England,blbooks
1805,"Historical ... accounts of ... Chepstow Castle: including Persfield ...also ... biographical anecdotes ... of H. Masters, etc",blbooks
1805,"History of all the events and transactions which have taken place in India: containing the negotiations of the British Government, relative to the glorious success of the late war [Retranslated from the French translation published in the 'Moniteur' by J. J. Stockdale.]",blbooks
1805,"History of the rise, progress, and termination of the American Revolution; interspersed with biographical, political and moral observations",blbooks
1805,"John Bull; or, and Englishman's fireside. A comedy in five acts, etc",blbooks
1805,"Journal of three years travels through different parts of Great Britain, in 1795, 1796, 1797 [By John Henry Manners.]",blbooks
1805,"Letters from France, written ... in the months of August, September, October, and November, 1802 ... The second edition, revised and corrected, etc",blbooks
1805,"Letters from Paraguay: describing the settlements of Monte Video and Buenos Ayres; the presidencies of Rioja Minor, Nombre de Dios, St. Mary and St. John ... with the manners, customs, religious ceremonies, &c. of the inhabitants, etc",blbooks
1805,"Memoires: comprising the navigation to and from China, by the China Sea, and through the various straits and channels in the Indian Archipelago; also, the navigation of Bombay Harbour",blbooks
1805,Miscellaneous Plays,blbooks
1805,"Miscellanies, antiquarian and historical",blbooks
1805,Monody to the memory of ... C. Nisbet [By Charles Keith.],blbooks
1805,"Narrative of a Voyage to Brasil; ... with general sketches of the country, and a description of the city and provinces of St. Salvadore and Porto Seguro, etc",blbooks
1805,"Notes upon some of the obscure Passages in Shakespeare's Plays; with Remarks upon the Explanations and Amendments of the Commentators in the Editions of 1785, 1790, 1793 [Edited by T. Penrice.]",blbooks
1805,Notices historiques de la ville de Saluces,blbooks
1805,"Observations on the present state of the Highlands of Scotland, with a view of the causes an probable consequences of emigration",blbooks
1805,"Of Age To-morrow: a musical entertainment in two acts etc [An adaptation of A. F. F. von Kotzebue's 'Der Wildfang,' by T. J. Dibdin.]",blbooks
