,ti_id,titel,vols,jaar,druk,ppn_o,bibliotheek,categorie,_jaar,pers_id,voornaam,voorvoegsel,achternaam,jaar_geboren,jaar_overlijden,geb_datum,overl_datum,geb_plaats,overl_plaats,geb_plaats_code,geb_land_code,overl_plaats_code,overl_land_code,vrouw,url,text_url,maand,genre,Unnamed: 28
7009,aa__002tijr01,"De tijrannijen der Franschen in de jaaren 1747, 1795-1813, in de Nederlanden gepleegd",,1814,1ste druk,,denha004koni01,1,1814,aa__002,Cornelis,van der,Aa,1749,1815,22 oktober,26 oktober,Leiden,Amsterdam,leide001,,amste001,,0,https://dbnl.org/tekst/aa__002tijr01_01,https://dbnl.org/nieuws/text.php?id=aa__002tijr01,2024_09   ,non-fictie,
7117,bosc036nede01,"Nederlandsche bezittingen in Azia, Amerika en Afrika",,1818,1ste druk,393474925,leide001univ01,1,1818,bosc036,Johannes,van den,Bosch,1780,1844,2 februari,28 januari,Herwijnen,Den Haag,herwi001,,denha004,,0,https://dbnl.org/tekst/bosc036nede01_01,https://dbnl.org/nieuws/text.php?id=bosc036nede01,2007_09   ,non-fictie,
7130,brin018nieu02,"Nieuwe Fransche tiranny, bijzonder onder de regering van Napoleon Bonaparte",,1814,2de druk,,denha004koni01,3,1814,brin018,Jan,ten,Brink,1771,1839,8 september,2 oktober,Amsterdam,Groningen,amste001,,groni001,,0,https://dbnl.org/tekst/brin018nieu02_01,https://dbnl.org/nieuws/text.php?id=brin018nieu02,2023_07   ,non-fictie,
8726,_vad003180501,Vaderlandsche letteroefeningen. Jaargang 1805,,1805,1ste druk,,leide001dbnl01,1,1805,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003180501_01,https://dbnl.org/nieuws/text.php?id=_vad003180501,2009_11   ,non-fictie,
8727,_vad003180601,Vaderlandsche letteroefeningen. Jaargang 1806,,1806,1ste druk,,leide001dbnl01,1,1806,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003180601_01,https://dbnl.org/nieuws/text.php?id=_vad003180601,2009_11   ,non-fictie,
8728,_vad003180701,Vaderlandsche letteroefeningen. Jaargang 1807,,1807,1ste druk,,leide001dbnl01,1,1807,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003180701_01,https://dbnl.org/nieuws/text.php?id=_vad003180701,2009_11   ,non-fictie,
8729,_vad003180801,Vaderlandsche letteroefeningen. Jaargang 1808,,1808,1ste druk,,leide001dbnl01,1,1808,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003180801_01,https://dbnl.org/nieuws/text.php?id=_vad003180801,2009_10   ,non-fictie,
8730,_vad003180901,Vaderlandsche letteroefeningen. Jaargang 1809,,1809,1ste druk,,leide001dbnl01,1,1809,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003180901_01,https://dbnl.org/nieuws/text.php?id=_vad003180901,2009_09   ,non-fictie,
8731,_vad003181001,Vaderlandsche letteroefeningen. Jaargang 1810,,1810,1ste druk,,leide001dbnl01,1,1810,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181001_01,https://dbnl.org/nieuws/text.php?id=_vad003181001,2009_09   ,non-fictie,
8732,_vad003181101,Vaderlandsche letteroefeningen. Jaargang 1811,,1811,1ste druk,,leide001dbnl01,1,1811,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181101_01,https://dbnl.org/nieuws/text.php?id=_vad003181101,2009_10   ,non-fictie,
8733,_vad003181201,Vaderlandsche letteroefeningen. Jaargang 1812,,1812,1ste druk,,leide001dbnl01,1,1812,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181201_01,https://dbnl.org/nieuws/text.php?id=_vad003181201,2009_10   ,non-fictie,
8734,_vad003181301,Vaderlandsche letteroefeningen. Jaargang 1813,,1813,1ste druk,,leide001dbnl01,1,1813,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181301_01,https://dbnl.org/nieuws/text.php?id=_vad003181301,2009_10   ,non-fictie,
8735,_vad003181401,Vaderlandsche letteroefeningen. Jaargang 1814,,1814,1ste druk,,leide001dbnl01,1,1814,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181401_01,https://dbnl.org/nieuws/text.php?id=_vad003181401,2009_10   ,non-fictie,
8736,_vad003181501,Vaderlandsche letteroefeningen. Jaargang 1815,,1815,1ste druk,,leide001dbnl01,1,1815,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181501_01,https://dbnl.org/nieuws/text.php?id=_vad003181501,2009_10   ,non-fictie,
8737,_vad003181601,Vaderlandsche letteroefeningen. Jaargang 1816,,1816,1ste druk,,leide001dbnl01,1,1816,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181601_01,https://dbnl.org/nieuws/text.php?id=_vad003181601,2009_10   ,non-fictie,
8738,_vad003181701,Vaderlandsche letteroefeningen. Jaargang 1817,,1817,1ste druk,,leide001dbnl01,1,1817,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181701_01,https://dbnl.org/nieuws/text.php?id=_vad003181701,2009_10   ,non-fictie,
8739,_vad003181801,Vaderlandsche letteroefeningen. Jaargang 1818,,1818,1ste druk,,leide001dbnl01,1,1818,_vad003,,,[tijdschrift] Vaderlandsche Letteroefeningen,,,,,,,,,,,0,https://dbnl.org/tekst/_vad003181801_01,https://dbnl.org/nieuws/text.php?id=_vad003181801,2009_10   ,non-fictie,
